filename,label
train/cat.1000.jpg,0
train/cat.1001.jpg,0
train/cat.1002.jpg,0
train/cat.1003.jpg,0
train/cat.1004.jpg,0
train/cat.1005.jpg,0
train/cat.1006.jpg,0
train/cat.1007.jpg,0
train/cat.1008.jpg,0
train/cat.1009.jpg,0
train/cat.1010.jpg,0
train/cat.1011.jpg,0
train/cat.1012.jpg,0
train/cat.1013.jpg,0
train/cat.1014.jpg,0
train/cat.1015.jpg,0
train/cat.1016.jpg,0
train/cat.1017.jpg,0
train/cat.1018.jpg,0
train/cat.1019.jpg,0
train/cat.1020.jpg,0
train/cat.1021.jpg,0
train/cat.1022.jpg,0
train/cat.1023.jpg,0
train/cat.1024.jpg,0
train/cat.1025.jpg,0
train/cat.1026.jpg,0
train/cat.1027.jpg,0
train/cat.1028.jpg,0
train/cat.1029.jpg,0
train/cat.1030.jpg,0
train/cat.1031.jpg,0
train/cat.1032.jpg,0
train/cat.1033.jpg,0
train/cat.1034.jpg,0
train/cat.1035.jpg,0
train/cat.1036.jpg,0
train/cat.1037.jpg,0
train/cat.1038.jpg,0
train/cat.1039.jpg,0
train/cat.1040.jpg,0
train/cat.1041.jpg,0
train/cat.1042.jpg,0
train/cat.1043.jpg,0
train/cat.1044.jpg,0
train/cat.1045.jpg,0
train/cat.1046.jpg,0
train/cat.1047.jpg,0
train/cat.1048.jpg,0
train/cat.1049.jpg,0
train/cat.1050.jpg,0
train/cat.1051.jpg,0
train/cat.1052.jpg,0
train/cat.1053.jpg,0
train/cat.1054.jpg,0
train/cat.1055.jpg,0
train/cat.1056.jpg,0
train/cat.1057.jpg,0
train/cat.1058.jpg,0
train/cat.1059.jpg,0
train/cat.1060.jpg,0
train/cat.1061.jpg,0
train/cat.1062.jpg,0
train/cat.1063.jpg,0
train/cat.1064.jpg,0
train/cat.1065.jpg,0
train/cat.1066.jpg,0
train/cat.1067.jpg,0
train/cat.1068.jpg,0
train/cat.1069.jpg,0
train/cat.1070.jpg,0
train/cat.1071.jpg,0
train/cat.1072.jpg,0
train/cat.1073.jpg,0
train/cat.1074.jpg,0
train/cat.1075.jpg,0
train/cat.1076.jpg,0
train/cat.1077.jpg,0
train/cat.1078.jpg,0
train/cat.1079.jpg,0
train/cat.1080.jpg,0
train/cat.1081.jpg,0
train/cat.1082.jpg,0
train/cat.1083.jpg,0
train/cat.1084.jpg,0
train/cat.1085.jpg,0
train/cat.1086.jpg,0
train/cat.1087.jpg,0
train/cat.1088.jpg,0
train/cat.1089.jpg,0
train/cat.1090.jpg,0
train/cat.1091.jpg,0
train/cat.1092.jpg,0
train/cat.1093.jpg,0
train/cat.1094.jpg,0
train/cat.1095.jpg,0
train/cat.1096.jpg,0
train/cat.1097.jpg,0
train/cat.1098.jpg,0
train/cat.1099.jpg,0
train/cat.1100.jpg,0
train/cat.1101.jpg,0
train/cat.1102.jpg,0
train/cat.1103.jpg,0
train/cat.1104.jpg,0
train/cat.1105.jpg,0
train/cat.1106.jpg,0
train/cat.1107.jpg,0
train/cat.1108.jpg,0
train/cat.1109.jpg,0
train/cat.1110.jpg,0
train/cat.1111.jpg,0
train/cat.1112.jpg,0
train/cat.1113.jpg,0
train/cat.1114.jpg,0
train/cat.1115.jpg,0
train/cat.1116.jpg,0
train/cat.1117.jpg,0
train/cat.1118.jpg,0
train/cat.1119.jpg,0
train/cat.1120.jpg,0
train/cat.1121.jpg,0
train/cat.1122.jpg,0
train/cat.1123.jpg,0
train/cat.1124.jpg,0
train/cat.1125.jpg,0
train/cat.1126.jpg,0
train/cat.1127.jpg,0
train/cat.1128.jpg,0
train/cat.1129.jpg,0
train/cat.1130.jpg,0
train/cat.1131.jpg,0
train/cat.1132.jpg,0
train/cat.1133.jpg,0
train/cat.1134.jpg,0
train/cat.1135.jpg,0
train/cat.1136.jpg,0
train/cat.1137.jpg,0
train/cat.1138.jpg,0
train/cat.1139.jpg,0
train/cat.1140.jpg,0
train/cat.1141.jpg,0
train/cat.1142.jpg,0
train/cat.1143.jpg,0
train/cat.1144.jpg,0
train/cat.1145.jpg,0
train/cat.1146.jpg,0
train/cat.1147.jpg,0
train/cat.1148.jpg,0
train/cat.1149.jpg,0
train/cat.1150.jpg,0
train/cat.1151.jpg,0
train/cat.1152.jpg,0
train/cat.1153.jpg,0
train/cat.1154.jpg,0
train/cat.1155.jpg,0
train/cat.1156.jpg,0
train/cat.1157.jpg,0
train/cat.1158.jpg,0
train/cat.1159.jpg,0
train/cat.1160.jpg,0
train/cat.1161.jpg,0
train/cat.1162.jpg,0
train/cat.1163.jpg,0
train/cat.1164.jpg,0
train/cat.1165.jpg,0
train/cat.1166.jpg,0
train/cat.1167.jpg,0
train/cat.1168.jpg,0
train/cat.1169.jpg,0
train/cat.1170.jpg,0
train/cat.1171.jpg,0
train/cat.1172.jpg,0
train/cat.1173.jpg,0
train/cat.1174.jpg,0
train/cat.1175.jpg,0
train/cat.1176.jpg,0
train/cat.1177.jpg,0
train/cat.1178.jpg,0
train/cat.1179.jpg,0
train/cat.1180.jpg,0
train/cat.1181.jpg,0
train/cat.1182.jpg,0
train/cat.1183.jpg,0
train/cat.1184.jpg,0
train/cat.1185.jpg,0
train/cat.1186.jpg,0
train/cat.1187.jpg,0
train/cat.1188.jpg,0
train/cat.1189.jpg,0
